Reporter,Partner,Product categories,Parent,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Australia,World,Vegetable,Consumer goods,Export,Export Product share(%),5.22,3.68,3.22,3.99,5.91,5.7,6.51,5.33,5.79,5.73,4.87,3.92,5.14,4.09,3.19,4.62,4.75,7.49,5.33,7.56,7.68,7.59,8.72,8.01,9.22,9.62,5.6,7.2,7.21,6.3,6.36,7.73,8.73,7.21
Australia,United States,All Products,All Products,Import,Partner share(%)-Top 5 Import Partner,10.17,11.8,11.78,10.39,10.34,11.46,11.27,10.61,10.25,11.73,11.44,11.19,11.27,12.09,12.84,14.11,13.94,14.72,15.94,18.27,18.24,19.92,20.59,21.87,21.62,22.89,21.34,21.73,21.01,22.04,23.78,23.67,22.18,21.32
Australia,World,Footwear,Consumer goods,Export,Export Product share(%),0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.04,0.04,0.05,0.06,0.07,0.07,0.07,0.08,0.1,0.09,0.09,0.11,0.11,0.12,0.13,0.1,0.08,0.06,0.06,0.05
Australia,...,...,Miscellaneous,Trade Indicator,HH Market concentration index,0.22,0.22,0.2,0.18,0.17,0.16,0.16,0.17,0.17,0.15,0.14,0.13,0.11,0.1,0.09,0.08,0.09,0.08,0.07,0.07,0.07,0.08,0.09,0.08,0.09,0.09,0.11,0.12,0.13,0.16,0.2,0.26,0.27,0.49
Australia,World,Capital goods,Capital goods,Tariff,Weighted Average (%),0.68,0.63,0.71,0.85,0.76,1.01,1.53,1.62,1.65,1.6,1.5,1.5,2.73,1.87,1.87,1.71,2.4,2.62,2.59,2.51,2.65,3.18,3.17,3.39,3.42,3.38,,,7.25,,7.99,,,
Australia,World,Consumer goods,Consumer goods,Import,Import Product share(%),45.24,44.45,45.14,44.69,42.86,45.73,44.62,42.45,43.35,39.99,39.9,40.88,40.73,39.5,39.64,39.73,40.11,39.94,39.19,38.24,37.77,35.99,34.34,34.98,34,32.31,31.93,33.13,32.96,33.33,31.19,30.41,29.82,29.65
Australia,World,Raw materials,Raw materials,Tariff,Weighted Average (%),0.09,0.1,0.06,0.06,0.07,0.07,0.1,0.05,0.04,0.03,0.04,0.04,0.1,0.07,0.05,0.04,0.07,0.09,0.1,0.1,0.07,0.07,0.1,0.12,0.11,0.1,,,0.42,,40.4,,,
Australia,World,All Products,All Products,Trade Indicator,World Growth (%),12.59,-3.75,-1.73,4.83,5.56,-1.38,-6.3,0.23,1.18,-0.02,9.25,9.74,-12.19,7.43,7.58,7.64,6.13,10.4,8.09,2.45,-1.76,7.19,2.52,-0.47,3.05,3.55,11.51,15.29,7.73,11.98,20.9,10.18,28.61,
Australia,"Korea, Rep.",All Products,All Products,Export,Partner share(%)-Top 5 Export Partner,6.61,5.69,5.22,5.44,5.74,6.73,7.08,7.44,7.02,8.02,8.91,8.88,7.98,8.29,8.01,7.55,7.89,7.79,7.49,8.36,7.78,8.2,6.33,5.91,7.03,8.98,7.62,6.51,6.21,5.8,6,5.34,4.83,
Australia,Germany,All Products,All Products,Import,Partner share(%)-Top 5 Import Partner,4.28,4.62,4.72,4.9,,5.32,,4.71,,4.64,4.68,,,4.99,5.15,5.07,5.54,5.73,6.13,5.73,5.62,5.01,5.63,5.86,5.44,5.86,6.57,5.9,5.7,5.72,6.05,6.51,6.21,6.66
